Name,RA,DECL,Equinox,Vmag,Sp.Type,"dist (pc)",star_id,star_id_str
HIP15510,"3 20 0.07","-43  3 59",2000,4.26,G8V,6.05,245,star245
HIP15638,"3 21 24.2","79 58  6",2000,11.20,M2:,13.70,246,star246
HIP15648,"3 21 26.4","43 19 46",2000,4.96,A3V,47.60,247,star247
HIP15673,"3 21 54.2","52 19 49",2000,9.05,K5,22.70,248,star248
HIP15771,"3 23 16.2","-49 59 34",2000,10.20,K0,19.90,249,star249
HIP15774,"3 23 17.5","-49 59 26",2000,8.58,K3V,19.70,250,star250
HIP15797,"3 23 33.6","43 57 20",2000,8.98,K2,25.50,251,star251
HIP15799,"3 23 35.3","-40  4 34",2000,6.90,K0V,17.00,252,star252
HIP15919,"3 24 59.4","-5 22  1",2000,7.86,K5V,15.10,253,star253
HIP16069,"3 27 0.07","-63 30  0",2000,8.08,K5V,16.30,254,star254
HIP16134,"3 27 53.0","-19 48 11",2000,8.39,K5V,12.60,255,star255
HIP16245,"3 29 23.5","-62 56  9",2000,4.71,F5IV-V,21.40,256,star256
HIP16499,"3 32 26.1","46  3 23",2000,5.30,F4IIIva,36.40,257,star257
GJ144,"3 32 54.7","-9 27 29",2000,3.73,K2.0V,3.21,258,star258
HIP16536,"3 32 55.3","-44 42  4",2000,11.40,,10.80,259,star259
HIP16711,"3 35 1.58","-48 25  3",2000,8.57,K7V,13.30,260,star260
GJ1061,"3 36 0.79","-44 30 51",2000,13.00,M5.0V,3.67,261,star261
HIP16846,"3 36 47.2","0 35 13",2000,5.82,G5IV/V,28.90,262,star262
HIP16852,"3 36 52.1","0 23 58",2000,4.29,F9V,13.70,263,star263
HIP17027,"3 39 1.10","-5 37 37",2000,5.97,K1V,35.10,264,star264
LP944-020,"3 39 35.6","-35 25 36",2000,18.60,M9.0V,4.96,265,star265
HIP17147,"3 40 22.7","-3 13  4",2000,6.68,F9V,24.30,266,star266
HIP17157,"3 40 29.5","-47 55 28",2000,9.59,K7,25.10,267,star267
HIP17346,"3 42 44.7","-24 28  4",2000,9.20,K5V,25.90,268,star268
HIP17378,"3 43 14.8","-9 45 36",2000,3.52,K0IV,9.04,269,star269
HIP17395,"3 43 33.8","-10 29  8",2000,5.59,A5m,42.90,270,star270
HIP17405,"3 43 45.4","16 39 57",2000,10.80,M1,16.20,271,star271
HIP17414,"3 43 52.7","16 40 14",2000,9.99,M2,17.20,272,star272
